"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT03399188","Fecal Microbiota Transplantation and Analysis of Fecal Microbiome in IBD Patients",,"Recruiting","No Results Available","Inflammatory Bowel Diseases","Procedure: Fecal microbiome transplantation","Clinical remission|Microbiome analysis by using relative abundance at phylum and genus level, beta diversity|Clinical response using disease activity index|Endoscopic healing|Adverse events","Yonsei University","All","7 Years to 80 Years   (Child, Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","4-2017-0223","November 15, 2017","November 30, 2023","December 31, 2023","January 16, 2018",,"January 16, 2019","Severance hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03399188"
12,"NCT04717284","A Self-compassion Intervention for Parents of Children With Inflammatory Bowel Disease (IBD)",,"Recruiting","No Results Available","Inflammatory Bowel Diseases","Other: Self-compassion intervention (SCI)|Other: Control condition","State self-compassion.|State shame and distress.|Trait self-compassion.|Parental stress.","University of Sheffield","All","18 Years and older   (Adult, Older Adult)","Not Applicable","154","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","169973","April 20, 2021","December 2021","December 2021","January 22, 2021",,"May 7, 2021","Clinical Psychology Unit, University of Sheffield, Sheffield, South Yorkshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04717284"
13,"NCT04488471","Impact of Isolation in Patients With IBD During the COVID-19 Crisis",,"Recruiting","No Results Available","Inflammatory Bowel Diseases",,"What impact has the isolation of patients during social isolation had in terms of psychological morbidity?|Have levels of psychological morbidity in young people changed from levels prior to the CoViD pandemic?","Sheffield Teaching Hospitals NHS Foundation Trust","All","16 Years and older   (Child, Adult, Older Adult)",,"232","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","STH21414","June 30, 2020","June 30, 2022","June 30, 2022","July 28, 2020",,"July 28, 2020","Sheffield Teaching Hospitals NHS FT, Sheffield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04488471"
14,"NCT03038984","Are Rates of Colectomies, Resections, Mortalities and Cancer Reduced by Home Monitoring of IBD Patients ?",,"Active, not recruiting","No Results Available","Inflammatory Bowel Diseases","Behavioral: At Home Screening procedure On demand|Behavioral: At Home Screening procedure every 3 months","colectomies|resections|mortalities|cancer|Hospitalizations|FC (Fecal Calprotectin) area under the curve (AUC)|Simple clinical colitis activity index (SCCAI): area under the curve (AUC)|Harvey-Bradshaw index (HBI): area under the curve (AUC)|Disease course, Copenhagen IBD Disease course Type","Nordsjaellands Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","H-15005603","August 2016","August 2026","August 2026","February 1, 2017",,"March 3, 2021",,,"https://ClinicalTrials.gov/show/NCT03038984"
15,"NCT04492267","Inflammatory Bowel Disease (IBD) and Covid-19 Infection","MICI-Covid-19","Recruiting","No Results Available","Inflammatory Bowel Disease",,"Retrospective analysis of severity and specific needs in case of SARS-CoV-2 infection in IBD patients","University Hospital, Strasbourg, France","All","18 Years and older   (Adult, Older Adult)",,"700","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","7930","July 7, 2020","January 7, 2021","January 7, 2021","July 30, 2020",,"July 30, 2020","Service Hépato-Gastroentérologie et Assistance Nutritive Hôpitaux Univesitaires de Strasbourg, Strasbourg, France",,"https://ClinicalTrials.gov/show/NCT04492267"
16,"NCT04269720","Biofeedback in Pediatric Inflammatory Bowel Disease",,"Not yet recruiting","No Results Available","IBD","Behavioral: Biofeedback","Crohn's disease mucosal healing|Ulcerative Colitis Mucosal healing|Disease activity( Fecal calprotectin)|Disease Activity (Crohn's disease)|Disease Activity ( Ulcerative Colitis)|Stress|Anxiety|Pediatric Quality of life|Depression|Stress-related changes in the microbiome|Stress-related changes in the metabolome.","Ross Maltz|Nationwide Children's Hospital","All","8 Years to 17 Years   (Child)","Not Applicable","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB18-01100","September 9, 2022","February 1, 2024","February 1, 2025","February 17, 2020",,"January 12, 2021",,,"https://ClinicalTrials.gov/show/NCT04269720"
17,"NCT04180345","Development of a Questionnaire Based on Patients' Messages on an Internet Forum for Flare Detection in IBD","FLARE_IBD","Not yet recruiting","No Results Available","Inflammatory Bowel Diseases","Other: Psychometric validation of the questionnaire","Scale calibration of the new developped questionnaire|Construct validity of the new developped questionnaire|Convergence proprieties of the new developped questionnaire|Reproductibility of the new developped questionnaire","Central Hospital, Nancy, France|Association François Aupetit, Paris, France|University of Lorraine","All","18 Years and older   (Adult, Older Adult)",,"260","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","2019-A01520-57","January 2020","July 2020","February 2021","November 27, 2019",,"November 27, 2019",,,"https://ClinicalTrials.gov/show/NCT04180345"
18,"NCT03653481","Treating IBD With Inulin","TII","Recruiting","No Results Available","Inflammatory Bowel Diseases","Dietary Supplement: Oligofructose-enriched Inulin OI|Dietary Supplement: Maltodextrin","Alteration of gut microbiota and metabolome|Change in fecal calprotectin level","Children's Hospital of Philadelphia|Beneo GmbH","All","8 Years to 21 Years   (Child, Adult)","Not Applicable","200","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","18-015331","October 29, 2018","October 2021","October 2022","August 31, 2018",,"July 30, 2020","Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03653481"
19,"NCT04760600","Role of Parasitic Infection in Inflammatory Bowel Disease and Irritable Bowel Syndrome",,"Recruiting","No Results Available","Parasite IBS IBD",,"Detect the prevalence of parasite/s associated with Inflammatory bowel diseases (IBD) and Irritable bowel syndrome (IBS) in comparison with control subjects.|measure the effect of the antiparasitic drugs on the course and prognosis of the diseases","Assiut University","All","17 Years to 69 Years   (Child, Adult, Older Adult)",,"300","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","role of parasites in ibd ibs","June 2021","June 2024","June 2024","February 18, 2021",,"February 18, 2021","Marina Gamil Shwqi, Assiut, Egypt",,"https://ClinicalTrials.gov/show/NCT04760600"
20,"NCT04816812","The IBD-FITT Study - Moderate-intensity Exercise for IBD Patients With Moderate Disease Activity","IBD-FITT","Not yet recruiting","No Results Available","Inflammatory Bowel Diseases","Behavioral: Exercise intervention|Behavioral: Lifestyle - online lesson intervention","Inflammatory Bowel Disease Questionnaire (IBDQ)|General health - Waist circumference|General health - blood pressure|General health - Lipid|General health - Clinical disease activity","University of Southern Denmark","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IBD-FITT_1","October 1, 2021","November 1, 2022","December 31, 2022","March 25, 2021",,"March 25, 2021","Hospital of Southwest Jutland, Esbjerg, Denmark|Odense University Hospital, Odense, Denmark",,"https://ClinicalTrials.gov/show/NCT04816812"
21,"NCT03695783","The IBD&me Randomized Controlled Trial",,"Recruiting","No Results Available","Inflammatory Bowel Diseases","Other: Online decision aid called IBD&me|Other: Standardized educational material","Patient perceptions of shared decision-making|Patient perceptions of decisional conflict|Patient satisfaction|Disease control and IBD-related quality of life|Initiation or switch of a treatment","Cedars-Sinai Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","152","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Health Services Research","37998665","March 6, 2019","December 31, 2020","December 31, 2020","October 4, 2018",,"July 22, 2020","Cedars-Sinai Medical Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT03695783"
22,"NCT04256538","Identify Specific Peripheral Blood Mononuclear Cell (PBMC) MiRNA as Biomarkers for Inflammatory Bowel Disease (IBD)",,"Recruiting","No Results Available","Inflammatory Bowel Diseases",,"Crohn's Disease Activity Index (CDAI)|Mayo Score","Second Affiliated Hospital, School of Medicine, Zhejiang University","All","14 Years to 75 Years   (Child, Adult, Older Adult)",,"300","Other","Observational","Observational Model: Other|Time Perspective: Prospective","SAHZJU2019-189","August 15, 2019","December 2020","December 2020","February 5, 2020",,"May 19, 2020","2nd Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China",,"https://ClinicalTrials.gov/show/NCT04256538"
23,"NCT04344249","Cohort of Patients With Inflammatory Bowel Disease During COVID-19 Pandemic","IBD-COVID-19","Recruiting","No Results Available","IBD|COVID",,"IgG and IgM anti SARS-CoV-2|Clinical factors and severity of COVID-19 infection|demographic factors and severity of COVID-19 infection|pharmacologic factors and severity of COVID-19 infection","Nantes University Hospital","All","18 Years to 100 Years   (Adult, Older Adult)",,"850","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RC20_0150","April 10, 2020","September 30, 2020","September 1, 2021","April 14, 2020",,"April 30, 2020","Chu Nantes, Nantes, France",,"https://ClinicalTrials.gov/show/NCT04344249"
24,"NCT03162549","Corrona Inflammatory Bowel Disease (IBD) Registry",,"Enrolling by invitation","No Results Available","Inflammatory Bowel Diseases",,"IBD epidemiology, presentation, natural history, management, and outcomes|Disease burden: Harvey-Bradshaw Index|Disease burden: Fistula History|Disease burden: Disease Location and Behavior|Percentage of patients with history of comorbidities|Physician reported: Pouchitis|Physician reported: Simple Clinical Colitis Activity Index (SCCAI)|Physician reported: Mayo Severity Index|Physician reported: IBD related extraintestinal manifestations|Patient reported: Patient reported: Work productivity and Activity Impairment (WPAI)|Patient reported: PROMIS","CorEvitas","All","18 Years and older   (Adult, Older Adult)",,"2287","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Corrona-IBD-600","March 27, 2017","December 2100","December 2100","May 22, 2017",,"April 19, 2021","Corrona, LLC, Waltham, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03162549"
25,"NCT04333810","Remote Physiologic Monitoring to Detect Inflammatory Bowel Disease (IBD) Flares: A Feasibility Study",,"Not yet recruiting","No Results Available","Inflammatory Bowel Diseases","Device: Whoop strap 3.0","Inflammatory Bowel Disease flares|Change in Sleep (hours per night)|Change in Heart Rate Variability (HRV)|Change in Resting Heart Rate (RHR)","Milton S. Hershey Medical Center","All","18 Years and older   (Adult, Older Adult)",,"12","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","STUDY14888","October 1, 2020","February 1, 2021","March 30, 2021","April 3, 2020",,"September 22, 2020","Penn State Hershey Medical Center, Hershey, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04333810"
26,"NCT04939948","Multi-factor Analysis of Psychological Disorders in IBD Patients",,"Not yet recruiting","No Results Available","Inflammatory Bowel Diseases",,"assess the effects of mental disease on risk of IBD-related adverse outcomes|assess the effects of mental disease on drug adherence","Second Affiliated Hospital, School of Medicine, Zhejiang University","All","18 Years to 65 Years   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","2021-0332","July 2021","September 2021","October 2021","June 25, 2021",,"June 25, 2021",,,"https://ClinicalTrials.gov/show/NCT04939948"
27,"NCT03426683","The Effect of Intestinal Microbiota Transplantation for Inflammatory Bowel Diseases","IBD","Recruiting","No Results Available","Inflammatory Bowel Disease(IBD)","Other: Intestinal Microbiota Transplantation","The change of the modified Mayo score|The change of CDAI|Relief of gastrointestinal symptoms|Changes of gut microbiota","Zhongshan Hospital Xiamen University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017004","November 21, 2017","October 2021","November 2021","February 8, 2018",,"May 25, 2021","Zhongshan Hospital Affiliated to Xiamen University, Xiamen, Fujian, China","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/83/NCT03426683/Prot_001.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/83/NCT03426683/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT03426683"
28,"NCT04170192","Multi-center Clinical Study of Cord Blood Stem Cell Transplantation for IBD Caused by IL-10R Gene Deficiency",,"Active, not recruiting","No Results Available","Inflammatory Bowel Diseases","Procedure: Cord Blood Stem Cell Transplantation","Overall survival rate|Disease free survival rate|Successful engraftment","Children's Hospital of Fudan University|Shanghai Children's Hospital|Children's Hospital Of Soochow University|Beijing Children's Hospital|Guangzhou Women and Children's Medical Center|Shenzhen Children's Hospital|Wuhan Women and Children's Medical Center|Children's Hospital of Nanjing Medical University|The First Affiliated Hospital of Zhengzhou University","All","1 Month to 18 Years   (Child, Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CPBMT-IBD-2019","December 1, 2019","October 31, 2022","October 31, 2023","November 20, 2019",,"February 17, 2020","Children's Hospital of Fudan University, Shanghai, Minhang, China",,"https://ClinicalTrials.gov/show/NCT04170192"
29,"NCT03893942","Psychological Predictors in Colorectal IBD Surgery Recovery","MIND-IBD","Active, not recruiting","No Results Available","Inflammatory Bowel Diseases","Other: Questionnaires administration|Other: Langer Mindfulness Scale (LMS)|Other: Mindful Attention Awareness Scale (MAAS)|Other: Cognitive Flexibility Scale (CFS)|Other: Life Orientation Test (LOT)|Other: Mini Locus of Control test (MLS)|Other: Hospital Anxiety and Depression Scale (HADS)|Other: Perceived Stress Scale (PSS)","Correlation between psychological predictors questionnaires outcome and length of hospital stay|Correlation between psychological predictors questionnaires outcome and quality of life","Istituto Clinico Humanitas","All","18 Years and older   (Adult, Older Adult)",,"80","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2214","April 16, 2019","October 25, 2020","April 2021","March 28, 2019",,"February 3, 2021","IRCCS Istituto Clinico Humanitas, Division of Colon and Rectal Surgery, Rozzano, MI, Italy",,"https://ClinicalTrials.gov/show/NCT03893942"
30,"NCT02952131","Use of Autologous, Adult Adipose-Derived Stem/Stromal Cells in Inflammatory Bowel Disease","ADcSVF-IBD","Enrolling by invitation","No Results Available","Inflammatory Bowel Diseases","Procedure: Lipoaspiration|Procedure: AD-cSVF|Procedure: Normal Saline IV","Safety: Inflammatory Bowel Disease|Efficacy: Quality of life index , Inflammatory Bowel Disease Questionnaire(IBD-QoL)|Change from Baseline in C Reactive Protein (CRP)|Efficacy: Change in Baseline of Modified Truelove-Witts Score (MTW)|Efficacy: Change in Baseline in Lichtiger Index","Healeon Medical Inc|Terry, Glenn C., M.D.","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 1|Phase 2","100","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","RGV-GARM3","November 2016","November 2021","March 2022","November 2, 2016",,"November 5, 2020","Regenevita LLC, Stevensville, Montana, United States",,"https://ClinicalTrials.gov/show/NCT02952131"
31,"NCT04867408","Endoscopic Severity Image Recognition to Advance Research and Training in Inflammatory Bowel Disease (EVEREST - IBD)",,"Not yet recruiting","No Results Available","Inflammatory Bowel Disease 1",,"To develop and train a convolutional neural network to detect and characterise disease severity of inflammatory bowel disease during endoscopy|a) To explore whether Artificial Intelligence can predict response to IBD therapies|b) To develop an endoscopic image repository to advance training and standardisation in endoscopic detection and characterisation of IBD.|c) To develop and assess methodologies for training and quality assurance of IBD diagnostic endoscopy|d) To evaluate comparisons in endoscopic image interpretation between endoscopist's|e) To develop deep learning algorithms and computer vision techniques to allow for automated measurement of quality metrics in endoscopy for IBD|f) To create a future robust research platform to ensure the above objectives are continuously developed as novel imaging techniques emerge over time.","Hull University Teaching Hospitals NHS Trust|Wellcome/EPSRC Centre for Interventional and Surgical Sciences, University College London","All","16 Years to 99 Years   (Child, Adult, Older Adult)",,"4000","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","299614","June 2021","June 2031","June 2031","April 30, 2021",,"April 30, 2021",,,"https://ClinicalTrials.gov/show/NCT04867408"
32,"NCT04805749","Osteopathic Approach in Inflammatory Bowel Diseases",,"Not yet recruiting","No Results Available","Inflammatory Bowel Diseases (IBD)","Other: Manual Therapy: osteopathy","Mean Change from baseline in gut permeability marker|Mean Change from baseline in intestinal inflammation markers|Mean Change from baseline in vagally mediated Heart Rate Variability (HRV)|Mean Change from baseline in Irritable Bowel Syndrome (IBS) like symptoms|Mean Change from baseline in Quality of Life Score|Mean Change from baseline in Anxiety and Depression Score","Ecole Professionnelle des Osteopathes du Quebec","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","OSTEO in subjects with IBD","April 15, 2021","July 1, 2021","September 1, 2021","March 18, 2021",,"March 18, 2021",,,"https://ClinicalTrials.gov/show/NCT04805749"
33,"NCT04794465","Asymptomatic Inflammatory Bowel Disease in Catalonia",,"Enrolling by invitation","No Results Available","Inflammatory Bowel Diseases","Diagnostic Test: Colorectal cancer screening","Time to treatment|Time to symptoms","Corporacion Parc Tauli","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2021/5006","April 1, 2021","July 15, 2021","October 31, 2021","March 12, 2021",,"March 12, 2021","Corporació Sanitària Parc Taulí, Sabadell, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT04794465"
34,"NCT04818892","Immunogenicity of COVID-19 Vaccine in Patients With Inflammatory Bowel Disease",,"Recruiting","No Results Available","IBD|Covid19 Vaccine","Diagnostic Test: Serological Assay for SARS-CoV-2","Change in Geometric Mean Titers (GMT) of SARS-CoV-2 Antibody Concentrations following mRNA COVID-19 vaccine series|Sustained antibody concentrations of mRNA COVID-19 vaccines|Incidence of Adverse Events|Patient reported outcome 3 (PRO3) score|Simple Colitis Activity Index (SCAI) Questionnaire Score|Seroconversion: assessed by percentages of participants with ≥4-fold rise in antibody titer|Change in Geometric Mean Titers (GMT) of SARS-CoV-2 Antibody Concentrations following two doses of viral vector COVID-19 vaccine series|Sustained antibody concentration of viral vector COVID-19 vaccines|Percentage of participants with detectable level of T-cell response after mRNA COVID-19 vaccine|Percentage of participants with detectable level of T-cell response after viral vector COVID-19 vaccine|Change in level of T-cell response after mRNA COVID-19 vaccine|Change in level of T-cell response after viral vector COVID-19 vaccine|Presence of SARS-CoV2 anti-nucleocapside antibody : Yes/No","University of Wisconsin, Madison","All","18 Years to 85 Years   (Adult, Older Adult)",,"260","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","2021-0043|A534250|SMPH/MEDICINE/GASTROENT|Protocol Version 3/31/2021|MSN252947","March 26, 2021","October 2021","April 2023","March 26, 2021",,"June 3, 2021","University of Wisconsin, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04818892"
35,"NCT04888299","Artificial Intelligence System Based on Raman Spectroscopy in Inflammatory Bowel Disease",,"Recruiting","No Results Available","Inflammatory Bowel Diseases","Device: Raman spectroscopy (SPECTRA IMDx)","Feasibility of Raman spectroscopy to identify mucosal healing in IBD and IBD-related dysplasia against the gold standard of histopathology|Diagnostic performance of Raman spectroscopy for assessment of mmucosal healing in IBD and IBD-related dysplasia against the gold standard of histopathology","Changi General Hospital","All","21 Years to 90 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2021/2000","April 14, 2021","April 2023","April 2023","May 17, 2021",,"May 17, 2021","Changi General Hospital, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT04888299"
36,"NCT01266538","Inflammatory Bowel Disease(IBD)Database","IBD","Not yet recruiting","No Results Available","Inflammatory Bowel Disease",,"flactuations in gastrointestinal inflammation|development of IBD-related morbidity and complications over time","Tel-Aviv Sourasky Medical Center","All","18 Years and older   (Adult, Older Adult)",,"2500","Other","Observational","Time Perspective: Prospective","TASMC-10-ID-467-CTIL","January 2011","December 2026","December 2026","December 24, 2010",,"December 24, 2010","Tel Aviv Sourasky Medical Center, Tel Aviv, Israel",,"https://ClinicalTrials.gov/show/NCT01266538"
